ORO,2fpt,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
XMP,1qk5,0,uracil,O=c1[nH]c(=O)c2[nH+]cn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
ORO,1uuo,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
MUA,1r4s,0,uracil,Cn1c(=O)[nH]c2c(=O)[nH]c(=O)[nH]c21
FNR,2isl,0,uracil,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)O)c1[nH]c(=O)[nH]c(=O)c1N2
FDA,1tvc,1,uracil,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1[nH]c(=O)[nH]c(=O)c1N2
HPT,1e2m,0,uracil,Cc1c(CCCO)[nH]c(=O)[nH]c1=O
XMP,1mew,0,uracil,O=c1[nH]c(=O)c2[nH+]cn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
CMU,1uou,0,uracil,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl
ORO,3g0x,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
ORO,2b0m,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
XMP,1p4r,0,uracil,O=c1[nH]c(=O)c2[nH+]cn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
URA,5eug,0,uracil,O=c1cc[nH]c(=O)[nH]1
ORO,3f1q,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
URA,1ui0,0,uracil,O=c1cc[nH]c(=O)[nH]1
ORO,2prh,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
XMP,1pl0,0,uracil,O=c1[nH]c(=O)c2[nH+]cn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1
T1P,1w19,0,uracil,O=c1[nH]c(=O)c2c([nH]1)n(CC(O)C(O)C(O)CO)c(=O)n2CCCOP(=O)(O)O
ORO,1jqx,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
LMZ,2a59,0,uracil,O=Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O
URA,1ucd,0,uracil,O=c1cc[nH]c(=O)[nH]1
FCK,3fck,0,uracil,O=C(O)c1cccc(CNCCCON=Cc2cc(=O)[nH]c(=O)[nH]2)c1
ORO,2b4g,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
FNR,2zry,0,uracil,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)O)c1[nH]c(=O)[nH]c(=O)c1N2
FNR,2isk,0,uracil,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)O)c1[nH]c(=O)[nH]c(=O)c1N2
ORO,1jqv,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
CCV,1e2p,0,uracil,Cc1c(CC(CO)CO)[nH]c(=O)[nH]c1=O
UAA,1gt8,0,uracil,O=C(O)Cc1cc(=O)[nH]c(=O)[nH]1
RDL,2b99,0,uracil,O=c1[nH]c(=O)c2[nH]c(=O)c(=O)n(CC(O)C(O)C(O)CO)c2[nH]1
URA,3bje,0,uracil,O=c1cc[nH]c(=O)[nH]1
LMZ,1nqv,0,uracil,O=Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O
TSF,2c94,0,uracil,O=c1[nH]c(=O)c2c([nH]1)n(CC(O)C(O)C(O)CO)c(=O)n2CCCCC(F)(F)P(=O)(O)O
TP6,2c92,0,uracil,O=c1[nH]c(=O)c2c([nH]1)n(CC(O)C(O)C(O)CO)c(=O)n2CCCCCOP(=O)(O)O
ORO,1ep2,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
INI,2obx,0,uracil,O=c1[nH]c(NCC(O)C(O)C(O)CO)c([N+](=O)[O-])c(=O)[nH]1
LUZ,3etr,0,uracil,O=c1[nH]c(=O)c2nccnc2[nH]1
ORO,2fpv,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
RCA,1e2n,0,uracil,Cc1c(CC2(C)C(=O)NC(=O)NC2CO)[nH]c(=O)[nH]c1=O
FDA,3ept,0,uracil,Cc1cc2c(cc1C)N(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n3cnc4c(N)ncnc43)C(O)C1O)c1[nH]c(=O)[nH]c(=O)c1N2
INI,1rvv,0,uracil,O=c1[nH]c(NCC(O)C(O)C(O)CO)c([N+](=O)[O-])c(=O)[nH]1
ORO,2prm,0,uracil,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
URA,1brw,0,uracil,O=c1cc[nH]c(=O)[nH]1
PHR,2c9d,0,uracil,O=c1[nH]c(=O)c2c([nH]1)n(CC(O)C(O)C(O)CO)c(=O)n2CCCCCCOP(=O)(O)O
